id(T),xyz(T),lane_type(L),lane_color(L)
0,429704.997 4414368.584 58.315 429704.510 4414368.695 58.321 429704.035 4414368.804 58.326 429703.545 4414368.904 58.319 429703.055 4414369.004 58.311 429702.566 4414369.104 58.304 429702.076 4414369.205 58.297 429701.586 4414369.305 58.290 429701.096 4414369.405 58.282 429700.606 4414369.505 58.275 429700.323 4414369.563 58.271 429699.833 4414369.662 58.268 429699.619 4414369.705 58.266 429699.132 4414369.818 58.261 429698.825 4414369.889 58.258 429698.333 4414369.980 58.252 429698.211 4414370.003 58.250 429697.717 4414370.083 58.242 429697.572 4414370.106 58.239 429697.083 4414370.208 58.233 429696.933 4414370.239 58.231 429696.446 4414370.352 58.222 429696.257 4414370.396 58.219 429695.764 4414370.480 58.208 429695.603 4414370.508 58.204 429695.113 4414370.609 58.195 429694.953 4414370.642 58.192 429694.463 4414370.739 58.183 429694.253 4414370.780 58.179 429693.763 4414370.878 58.168 429693.610 4414370.908 58.165 429693.119 4414371.003 58.155 429692.940 4414371.038 58.151 429692.452 4414371.144 58.141 429692.293 4414371.179 58.138 429691.802 4414371.274 58.130 429691.626 4414371.308 58.127 429691.138 4414371.417 58.120 429691.033 4414371.441 58.119 429690.541 4414371.530 58.113 429690.274 4414371.579 58.109 429689.787 4414371.690 58.105 429689.700 4414371.710 58.104 429689.210 4414371.811 58.099 429688.951 4414371.865 58.097 429688.462 4414371.971 58.092 429688.317 4414372.003 58.091 429687.826 4414372.096 58.087 429687.616 4414372.136 58.085 429687.125 4414372.229 58.080 429687.000 4414372.253 58.079 429686.512 4414372.363 58.074 429686.365 4414372.396 58.072 429685.875 4414372.494 58.066 429685.673 4414372.535 58.063 429685.181 4414372.621 58.058 429684.972 4414372.658 58.056 429684.482 4414372.757 58.051 429684.271 4414372.800 58.049 429683.782 4414372.906 58.045 429683.610 4414372.943 58.043 429683.119 4414373.039 58.038 429682.995 4414373.063 58.037 429682.504 4414373.157 58.033 429682.334 4414373.190 58.032 429681.844 4414373.288 58.028 429681.677 4414373.321 58.026 429681.188 4414373.426 58.023 429681.051 4414373.455 58.022 429680.561 4414373.553 58.020 429680.362 4414373.592 58.019 429679.874 4414373.699 58.017 429679.712 4414373.734 58.017 429679.220 4414373.824 58.016 429679.042 4414373.856 58.015 429678.554 4414373.964 58.014 429678.390 4414374.000 58.013 429677.899 4414374.094 58.013 429677.730 4414374.127 58.013 429677.240 4414374.225 58.013 429677.060 4414374.261 58.013 429676.570 4414374.359 58.014 429676.445 4414374.384 58.014 429675.955 4414374.482 58.015 429675.763 4414374.521 58.015 429675.272 4414374.617 58.015 429675.135 4414374.644 58.015 429674.646 4414374.747 58.015 429674.466 4414374.785 58.015 429673.977 4414374.890 58.015 429673.812 4414374.926 58.015 429673.321 4414375.021 58.016 429673.153 4414375.054 58.016 429672.663 4414375.155 58.016 429672.510 4414375.187 58.016 429672.021 4414375.289 58.016 429671.844 4414375.326 58.016 429671.352 4414375.413 58.018 429671.196 4414375.441 58.018 429670.706 4414375.541 58.022 429670.518 4414375.580 58.023 429670.031 4414375.693 58.023 429669.913 4414375.721 58.023 429669.421 4414375.811 58.024 429669.220 4414375.848 58.025 429668.729 4414375.942 58.027 429668.579 4414375.971 58.028 429668.091 4414376.081 58.030 429667.906 4414376.123 58.031 429667.414 4414376.213 58.033 429667.258 4414376.242 58.034 429666.769 4414376.345 58.037 429666.595 4414376.382 58.038 429666.105 4414376.483 58.040 429665.962 4414376.512 58.041 429665.471 4414376.607 58.043 429665.311 4414376.638 58.043 429664.821 4414376.740 58.045 429664.661 4414376.773 58.045 429664.170 4414376.868 58.047 429664.029 4414376.895 58.047 429663.537 4414376.983 58.049 429663.344 4414377.017 58.050 429662.857 4414377.131 58.053 429662.715 4414377.164 58.054 429662.226 4414377.268 58.057 429662.042 4414377.307 58.058 429661.552 4414377.407 58.061 429661.383 4414377.441 58.062 429660.892 4414377.538 58.066 429660.744 4414377.567 58.067 429660.252 4414377.655 58.072 429660.090 4414377.684 58.073 429659.601 4414377.786 58.077 429659.415 4414377.825 58.079 429658.923 4414377.912 58.083 429658.775 4414377.938 58.084 429658.287 4414378.046 58.088 429658.141 4414378.078 58.089 429657.650 4414378.170 58.093 429657.442 4414378.209 58.094 429656.953 4414378.315 58.096 429656.789 4414378.350 58.097 429656.299 4414378.450 58.101 429656.118 4414378.487 58.102 429655.629 4414378.593 58.105 429655.456 4414378.631 58.106 429654.965 4414378.726 58.109 429654.813 4414378.755 58.110 429654.324 4414378.859 58.112 429654.166 4414378.893 58.113 429653.963 4414378.930 58.117,2,
1,429768.529 4414604.459 59.696 429768.420 4414603.971 59.695 429768.311 4414603.483 59.694 429768.202 4414602.995 59.693 429768.093 4414602.507 59.692 429767.984 4414602.019 59.691 429767.875 4414601.531 59.690 429767.766 4414601.043 59.689 429767.657 4414600.555 59.688 429767.548 4414600.067 59.687 429767.439 4414599.579 59.686 429767.437 4414599.569 59.686 429767.338 4414599.079 59.686 429767.239 4414598.589 59.685 429767.140 4414598.099 59.685 429767.041 4414597.609 59.684 429766.942 4414597.118 59.684 429766.843 4414596.628 59.684 429766.744 4414596.138 59.683 429766.645 4414595.648 59.683 429766.546 4414595.158 59.682 429766.447 4414594.668 59.682 429766.444 4414594.653 59.682 429766.346 4414594.163 59.681 429766.248 4414593.672 59.680 429766.150 4414593.182 59.679 429766.052 4414592.692 59.678 429765.953 4414592.202 59.678 429765.855 4414591.711 59.677 429765.757 4414591.221 59.676 429765.659 4414590.731 59.675 429765.561 4414590.240 59.674 429765.463 4414589.750 59.673 429765.461 4414589.741 59.673 429765.361 4414589.251 59.671 429765.261 4414588.761 59.669 429765.160 4414588.271 59.667 429765.060 4414587.782 59.665 429764.960 4414587.292 59.663 429764.860 4414586.802 59.661 429764.760 4414586.312 59.659 429764.659 4414585.822 59.657 429764.559 4414585.332 59.655 429764.459 4414584.843 59.653 429764.360 4414584.353 59.651 429764.262 4414583.863 59.649 429764.163 4414583.373 59.647 429764.064 4414582.882 59.645 429763.966 4414582.392 59.642 429763.867 4414581.902 59.640 429763.768 4414581.412 59.638 429763.670 4414580.922 59.636 429763.571 4414580.432 59.634 429763.474 4414579.949 59.632 429763.374 4414579.459 59.631 429763.274 4414578.969 59.630 429763.175 4414578.479 59.629 429763.075 4414577.989 59.628 429762.975 4414577.499 59.627 429762.875 4414577.009 59.626 429762.775 4414576.519 59.625 429762.675 4414576.030 59.624 429762.576 4414575.540 59.623 429762.476 4414575.050 59.622 429762.474 4414575.041 59.622 429762.377 4414574.551 59.620 429762.280 4414574.060 59.619 429762.183 4414573.570 59.617 429762.085 4414573.079 59.616 429761.988 4414572.589 59.614 429761.891 4414572.098 59.613 429761.794 4414571.608 59.611 429761.697 4414571.117 59.610 429761.600 4414570.627 59.608 429761.503 4414570.138 59.607 429761.403 4414569.648 59.605 429761.303 4414569.158 59.603 429761.202 4414568.668 59.602 429761.102 4414568.179 59.600 429761.002 4414567.689 59.598 429760.902 4414567.199 59.596 429760.802 4414566.709 59.594 429760.701 4414566.219 59.592 429760.601 4414565.729 59.591 429760.510 4414565.284 59.589 429760.412 4414564.794 59.589 429760.313 4414564.304 59.588 429760.215 4414563.813 59.588 429760.117 4414563.323 59.587 429760.018 4414562.833 59.587 429759.920 4414562.343 59.587 429759.822 4414561.852 59.586 429759.723 4414561.362 59.586 429759.625 4414560.872 59.585 429759.527 4414560.382 59.585 429759.522 4414560.359 59.585 429759.422 4414559.869 59.584 429759.322 4414559.379 59.582 429759.222 4414558.889 59.581 429759.122 4414558.399 59.579 429759.022 4414557.909 59.578 429758.922 4414557.420 59.576 429758.822 4414556.930 59.575 429758.723 4414556.440 59.573 429758.623 4414555.950 59.572 429758.523 4414555.460 59.570 429758.520 4414555.447 59.570 429758.420 4414554.957 59.566 429758.320 4414554.467 59.563 429758.220 4414553.977 59.559 429758.121 4414553.487 59.556 429758.021 4414552.997 59.552 429757.921 4414552.507 59.549 429757.905 4414552.429 59.548 429757.881 4414552.213 59.658,2,
2,429746.072 4414512.097 59.267 429745.982 4414511.605 59.264 429745.891 4414511.114 59.260 429745.801 4414510.622 59.257 429745.710 4414510.130 59.253 429745.620 4414509.638 59.250 429745.529 4414509.147 59.246 429745.439 4414508.655 59.243 429745.348 4414508.163 59.239 429745.258 4414507.671 59.236 429745.178 4414507.239 59.233 429745.076 4414506.749 59.231 429744.974 4414506.260 59.228 429744.873 4414505.770 59.226 429744.771 4414505.281 59.224 429744.669 4414504.791 59.222 429744.567 4414504.302 59.219 429744.465 4414503.812 59.217 429744.364 4414503.323 59.215 429744.274 4414502.892 59.213 429744.184 4414502.400 59.211 429744.094 4414501.908 59.208 429744.004 4414501.417 59.206 429743.914 4414500.925 59.203 429743.824 4414500.433 59.201 429743.734 4414499.941 59.198 429743.644 4414499.449 59.196 429743.568 4414499.034 59.194 429743.458 4414498.546 59.191 429743.348 4414498.059 59.187 429743.238 4414497.571 59.184 429743.128 4414497.083 59.180 429743.017 4414496.595 59.177 429742.907 4414496.108 59.174 429742.797 4414495.620 59.170 429742.687 4414495.132 59.167 429742.577 4414494.645 59.164 429742.467 4414494.157 59.160 429742.460 4414494.127 59.160 429742.362 4414493.637 59.157 429742.264 4414493.146 59.154 429742.167 4414492.656 59.152 429742.069 4414492.166 59.149 429741.971 4414491.675 59.146 429741.873 4414491.185 59.143 429741.775 4414490.695 59.140 429741.677 4414490.204 59.138 429741.580 4414489.714 59.135 429741.482 4414489.224 59.132 429741.481 4414489.220 59.132 429741.381 4414488.730 59.129 429741.282 4414488.240 59.126 429741.182 4414487.750 59.123 429741.083 4414487.260 59.120 429740.983 4414486.770 59.117 429740.884 4414486.280 59.114 429740.784 4414485.790 59.111 429740.685 4414485.300 59.108 429740.585 4414484.810 59.105 429740.489 4414484.338 59.102 429740.390 4414483.848 59.099 429740.291 4414483.358 59.097 429740.193 4414482.868 59.094 429740.094 4414482.377 59.092 429739.995 4414481.887 59.089 429739.896 4414481.397 59.086 429739.797 4414480.907 59.084 429739.699 4414480.417 59.081 429739.600 4414479.927 59.079 429739.501 4414479.437 59.076 429739.499 4414479.426 59.076 429739.400 4414478.936 59.073 429739.301 4414478.446 59.070 429739.203 4414477.956 59.067 429739.104 4414477.465 59.064 429739.005 4414476.975 59.061 429738.906 4414476.485 59.058 429738.808 4414475.995 59.055 429738.709 4414475.505 59.052 429738.610 4414475.015 59.049 429738.511 4414474.525 59.046 429738.510 4414474.518 59.046 429738.411 4414474.028 59.043 429738.312 4414473.538 59.040 429738.212 4414473.048 59.038 429738.113 4414472.558 59.035 429738.014 4414472.068 59.032 429737.915 4414471.578 59.029 429737.815 4414471.088 59.026 429737.716 4414470.598 59.024 429737.617 4414470.108 59.021 429737.518 4414469.618 59.018 429737.513 4414469.594 59.018 429737.414 4414469.104 59.014 429737.314 4414468.614 59.011 429737.215 4414468.124 59.007 429737.115 4414467.634 59.004 429737.016 4414467.144 59.000 429736.917 4414466.654 58.997 429736.817 4414466.164 58.993 429736.718 4414465.674 58.990 429736.618 4414465.184 58.986 429736.520 4414464.699 58.983 429736.421 4414464.209 58.980 429736.322 4414463.719 58.977 429736.222 4414463.229 58.974 429736.123 4414462.739 58.971 429736.024 4414462.249 58.969 429735.925 4414461.759 58.966 429735.826 4414461.269 58.963 429735.727 4414460.779 58.960 429735.627 4414460.289 58.957 429735.528 4414459.798 58.954 429735.524 4414459.778 58.954 429735.424 4414459.288 58.951 429735.325 4414458.798 58.949 429735.225 4414458.308 58.946 429735.126 4414457.818 58.943 429735.026 4414457.328 58.940 429734.927 4414456.838 58.938 429734.827 4414456.348 58.935 429734.728 4414455.858 58.932 429734.628 4414455.368 58.930 429734.535 4414454.909 58.927 429734.462 4414454.546 58.892,2,
3,429736.029 4414427.049 58.875 429735.932 4414426.559 58.865 429735.834 4414426.068 58.856 429735.737 4414425.578 58.846 429735.693 4414425.357 58.842,2,
4,429732.534 4414427.306 58.818 429732.435 4414426.816 58.809 429732.337 4414426.326 58.801 429732.292 4414426.105 58.797,2,
5,429473.906 4414408.073 59.099 429473.416 4414408.172 59.102 429472.926 4414408.271 59.104 429472.436 4414408.370 59.107 429471.946 4414408.469 59.109 429471.456 4414408.568 59.112 429470.966 4414408.668 59.115 429470.475 4414408.767 59.117 429469.985 4414408.866 59.120 429469.495 4414408.965 59.122 429469.005 4414409.064 59.125 429469.000 4414409.065 59.125 429468.510 4414409.165 59.125 429468.020 4414409.265 59.125 429467.530 4414409.365 59.125 429467.040 4414409.465 59.125 429466.551 4414409.565 59.126 429466.061 4414409.665 59.126 429465.571 4414409.766 59.126 429465.081 4414409.866 59.126 429464.591 4414409.966 59.126 429464.105 4414410.065 59.126 429463.615 4414410.165 59.126 429463.125 4414410.265 59.126 429462.635 4414410.365 59.126 429462.145 4414410.465 59.126 429461.656 4414410.565 59.125 429461.166 4414410.665 59.125 429460.676 4414410.765 59.125 429460.186 4414410.865 59.125 429459.696 4414410.965 59.125 429459.248 4414411.057 59.125 429458.758 4414411.157 59.127 429458.268 4414411.258 59.130 429457.778 4414411.358 59.132 429457.289 4414411.458 59.135 429456.799 4414411.558 59.137 429456.309 4414411.659 59.139 429455.819 4414411.759 59.142 429455.329 4414411.859 59.144 429454.839 4414411.959 59.147 429454.350 4414412.060 59.149 429453.860 4414412.160 59.151 429453.370 4414412.260 59.154 429453.136 4414412.308 59.155 429452.672 4414412.393 59.168 429452.182 4414412.493 59.171 429451.692 4414412.592 59.175 429451.202 4414412.692 59.178 429450.712 4414412.792 59.181 429450.222 4414412.892 59.185 429449.732 4414412.991 59.188 429449.242 4414413.091 59.191 429448.752 4414413.191 59.194 429448.263 4414413.291 59.198 429447.774 4414413.390 59.201 429447.284 4414413.491 59.203 429446.795 4414413.592 59.205 429446.305 4414413.692 59.207 429445.815 4414413.793 59.209 429445.325 4414413.894 59.211 429444.836 4414413.995 59.213 429444.346 4414414.096 59.215 429443.856 4414414.196 59.217 429443.366 4414414.297 59.219 429442.910 4414414.391 59.221 429442.420 4414414.490 59.223 429441.930 4414414.589 59.225 429441.440 4414414.688 59.227 429440.950 4414414.787 59.229 429440.460 4414414.886 59.231 429439.969 4414414.985 59.232 429439.479 4414415.084 59.234 429438.989 4414415.183 59.236 429438.499 4414415.282 59.238 429438.046 4414415.374 59.240 429437.557 4414415.477 59.244 429437.067 4414415.579 59.248 429436.578 4414415.682 59.253 429436.089 4414415.784 59.257 429435.599 4414415.887 59.261 429435.110 4414415.989 59.265 429435.001 4414416.012 59.266,2,
