id(T),xyz(T),leftoright(S),lane_numer(S),lane_width(R),lane_cur(R),grade(R),slope(R),fliction(R),belt_type(R),curb_height(R)
0,429810.694 4414900.630 59.982 429801.777 4414905.871 60.043 429799.496 4414907.439 60.064 429797.292 4414908.931 60.094 429793.688 4414911.372 60.113 429791.903 4414912.582 60.158 429790.059 4414913.840 60.182 429787.993 4414915.248 60.198 429785.919 4414916.656 60.217 429783.936 4414918.000 60.236 429782.110 4414919.245 60.246 429779.557 4414920.982 60.260 429777.698 4414922.251 60.272 429775.790 4414923.554 60.283 429773.767 4414924.930 60.299 429772.041 4414926.110 60.309 429770.083 4414927.423 60.298 429767.960 4414928.890 60.362 429766.120 4414930.149 60.372 429764.284 4414931.389 60.371 429762.147 4414932.846 60.379 429759.864 4414934.395 60.391 429757.593 4414935.947 60.398 429755.843 4414937.139 60.403 429753.657 4414938.627 60.393 429751.480 4414940.113 60.431 429749.097 4414941.733 60.449 429747.327 4414942.938 60.457 429745.351 4414944.279 60.469 429743.129 4414945.792 60.471 429741.144 4414947.139 60.483 429739.434 4414948.303 60.496 429737.240 4414949.800 60.508 429735.334 4414951.092 60.514 429733.649 4414952.240 60.525 429731.176 4414953.946 60.532 429729.221 4414955.307 60.547 429727.257 4414956.685 60.548 429725.529 4414957.900 60.550 429722.974 4414959.715 60.556 429720.978 4414961.170 60.569 429719.288 4414962.425 60.578 429716.882 4414964.221 60.589 429715.004 4414965.627 60.596 429713.309 4414966.917 60.600 429710.742 4414968.882 60.605 429708.510 4414970.589 60.615 429706.473 4414972.190 60.623 429704.564 4414973.692 60.626 429702.086 4414975.675 60.633 429700.287 4414977.137 60.633 429698.579 4414978.537 60.633 429696.737 4414980.068 60.634 429694.929 4414981.570 60.624 429693.193 4414983.014 60.613 429691.481 4414984.456 60.633 429689.645 4414986.047 60.641 429687.965 4414987.521 60.644 429685.658 4414989.538 60.645 429683.525 4414991.421 60.647 429681.637 4414993.135 60.648 429680.111 4414994.518 60.652 429677.914 4414996.524 60.655 429675.697 4414998.597 60.658 429674.103 4415000.088 60.661 429672.173 4415001.921 60.652 429670.170 4415003.815 60.647 429667.941 4415005.970 60.645 429666.369 4415007.497 60.640 429664.617 4415009.230 60.636 429662.359 4415011.489 60.611 429660.583 4415013.260 60.618 429658.694 4415015.184 60.619 429657.171 4415016.762 60.620 429655.000 4415019.033 60.612 429653.047 4415021.089 60.608 429651.584 4415022.665 60.601 429649.814 4415024.583 60.593 429648.145 4415026.388 60.587 429646.651 4415028.020 60.580 429645.267 4415029.550 60.566 429643.719 4415031.286 60.562 429642.346 4415032.829 60.560 429641.041 4415034.533 60.549 429611.384 4415071.786 60.389 429609.892 4415073.874 60.423 429608.643 4415075.625 60.419 429607.153 4415077.759 60.427 429605.507 4415080.150 60.420 429603.848 4415082.586 60.411 429602.350 4415084.800 60.400 429600.732 4415087.236 60.386 429599.239 4415089.534 60.375 429597.484 4415092.247 60.366 429596.167 4415094.313 60.355 429594.872 4415096.370 60.344 429593.559 4415098.489 60.337 429592.153 4415100.784 60.318 429590.623 4415103.284 60.308 429589.519 4415105.113 60.302 429588.190 4415107.330 60.291 429586.700 4415109.858 60.283 429585.219 4415112.398 60.275 429584.033 4415114.489 60.271 429582.891 4415116.511 60.260 429581.741 4415118.556 60.248 429580.597 4415120.633 60.236 429579.335 4415122.949 60.224 429578.960 4415123.591 60.191 429578.648 4415124.165 60.188 429577.264 4415126.755 60.179 429576.314 4415128.546 60.173 429575.315 4415130.467 60.175 429574.263 4415132.567 60.142 429573.261 4415134.466 60.164 429572.277 4415136.379 60.158 429571.236 4415138.435 60.154 429570.318 4415140.325 60.149 429568.112 4415144.865 60.127 429567.164 4415146.827 60.115 429566.119 4415149.037 60.103 429565.235 4415150.932 60.098 429564.373 4415152.808 60.095 429563.195 4415155.416 60.089 429561.916 4415158.224 60.083 429560.973 4415160.387 60.078 429559.762 4415163.293 60.042 429558.255 4415166.818 60.067 429556.955 4415169.852 60.066 429556.119 4415171.887 60.063 429554.682 4415175.352 60.057 429553.409 4415178.421 60.052 429552.323 4415181.019 60.042 429551.467 4415183.043 60.037 429550.450 4415185.444 60.029 429549.216 4415188.474 60.015 429548.427 4415190.372 60.002 429547.465 4415192.665 59.954 429546.427 4415195.167 59.973 429545.600 4415197.147 59.966 429544.562 4415199.673 59.959 429543.065 4415203.265 59.965 429542.117 4415205.493 59.961 429541.019 4415208.193 59.955 429540.172 4415210.190 59.955 429539.033 4415212.955 59.962 429537.958 4415215.515 59.969 429537.034 4415217.803 59.971 429534.814 4415223.143 59.950 429533.976 4415225.164 59.934 429532.942 4415227.649 59.957 429532.014 4415229.904 59.965 429530.853 4415232.673 59.972 429530.074 4415234.554 59.978 429529.263 4415236.501 59.983 429528.235 4415239.004 59.981 429525.995 4415244.405 59.960 429524.658 4415247.569 59.962 429523.769 4415249.648 59.958 429522.866 4415251.696 59.955 429521.634 4415254.361 59.947 429519.474 4415259.105 59.915 429518.615 4415260.953 59.904 429517.394 4415263.469 59.889 429516.341 4415265.521 59.903 429515.359 4415267.501 59.900 429514.386 4415269.428 59.900 429513.359 4415271.447 59.902 429512.403 4415273.300 59.916 429511.450 4415275.105 59.926 429510.432 4415276.915 59.940 429508.949 4415279.540 59.946 429507.797 4415281.534 59.945 429506.771 4415283.275 59.947 429505.648 4415285.182 59.954 429504.073 4415287.864 59.963 429503.001 4415289.590 59.967 429501.777 4415291.502 59.970 429500.650 4415293.286 59.976 429499.026 4415295.786 59.974 429497.461 4415298.212 59.973 429495.710 4415300.774 59.945 429494.074 4415303.199 59.958 429492.776 4415305.092 59.958 429491.432 4415307.027 59.960 429489.266 4415310.002 59.969 429487.887 4415311.903 59.975 429486.325 4415314.003 59.980 429484.494 4415316.395 59.983 429483.015 4415318.270 59.985 429481.564 4415320.132 59.989 429480.147 4415321.912 59.994 429478.706 4415323.672 60.004 429477.332 4415325.335 60.016 429475.844 4415327.070 60.026 429474.097 4415329.112 60.042 429472.746 4415330.658 60.050 429471.268 4415332.352 60.054 429469.841 4415333.974 60.057 429468.466 4415335.494 60.063 429467.059 4415337.060 60.063 429465.982 4415338.288 60.091 429465.377 4415338.931 60.077 429462.470 4415341.989 60.097 429459.565 4415344.969 60.117 429457.633 4415346.918 60.125 429455.857 4415348.670 60.123 429454.337 4415350.135 60.121 429452.279 4415352.092 60.120 429450.802 4415353.474 60.123 429442.919 4415360.795 60.174 429441.101 4415362.494 60.167 429434.025 4415369.075 60.208 429432.300 4415370.652 60.215 429430.615 4415372.162 60.211 429393.174 4415406.745 60.428 429390.807 4415408.863 60.428 429389.058 4415410.482 60.439 429386.903 4415412.472 60.449 429384.929 4415414.295 60.460 429382.611 4415416.420 60.454 429381.088 4415417.838 60.485 429379.415 4415419.382 60.501 429377.637 4415421.018 60.502 429375.728 4415422.774 60.505 429373.699 4415424.645 60.516 429371.927 4415426.276 60.525 429370.387 4415427.698 60.532 429368.670 4415429.282 60.539 429367.054 4415430.769 60.551 429365.228 4415432.455 60.561 429363.160 4415434.349 60.569 429361.486 4415435.894 60.581 429359.467 4415437.740 60.588 429357.503 4415439.551 60.607 429355.789 4415441.133 60.618 429353.804 4415442.965 60.631 429351.802 4415444.788 60.606 429350.146 4415446.336 60.629 429348.201 4415448.121 60.641 429346.576 4415449.618 60.664 429344.557 4415451.475 60.693 429342.148 4415453.694 60.714 429340.677 4415455.051 60.718 429338.947 4415456.637 60.726 429337.074 4415458.357 60.735 429335.427 4415459.875 60.742 429333.636 4415461.579 60.755 429332.123 4415463.129 60.770 429330.636 4415464.709 60.772 429329.145 4415466.314 60.768 429327.612 4415467.952 60.779 429325.362 4415470.359 60.780 429323.898 4415471.928 60.791 429321.980 4415473.978 60.803 429320.555 4415475.474 60.804 429318.875 4415477.134 60.804 429317.498 4415478.431 60.809 429315.752 4415480.046 60.822 429313.580 4415482.052 60.836 429311.807 4415483.685 60.849 429310.113 4415485.242 60.859 429308.037 4415487.143 60.870 429306.170 4415488.868 60.880 429303.903 4415490.955 60.890 429302.153 4415492.565 60.898 429300.538 4415494.049 60.868 429298.958 4415495.517 60.913 429297.312 4415497.037 60.931 429295.494 4415498.708 60.935 429293.954 4415500.118 60.938 429292.448 4415501.504 60.939 429290.573 4415503.233 60.947 429288.623 4415505.031 60.969,,,,,,,,,
1,429248.323 4415497.013 61.047 429244.358 4415477.552 60.877 429243.810 4415474.931 60.898 429243.349 4415472.665 60.892 429242.927 4415470.554 60.883 429242.311 4415467.550 60.868 429241.706 4415464.526 60.865 429241.136 4415461.705 60.861 429240.490 4415458.559 60.851 429239.946 4415455.853 60.838 429239.650 4415454.362 60.842 429236.597 4415439.224 60.820 429235.898 4415435.741 60.796 429234.013 4415426.484 60.814 429233.523 4415423.990 60.808 429231.633 4415414.722 60.816 429230.436 4415408.764 60.833 429229.248 4415402.962 60.847 429226.298 4415388.255 60.865 429221.739 4415365.712 60.957 429220.880 4415361.374 60.968 429219.762 4415355.910 60.999 429219.170 4415352.969 60.999 429218.589 4415350.025 60.968 429217.989 4415347.086 61.009 429215.330 4415333.844 61.055 429213.860 4415326.654 61.076 429212.855 4415321.516 61.091 429211.232 4415313.575 61.112 429209.673 4415305.919 61.108 429209.058 4415302.811 61.126 429204.002 4415277.745 61.225 429203.147 4415273.531 61.234 429202.675 4415271.176 61.217 429202.254 4415269.120 61.254 429199.785 4415256.992 61.303 429195.590 4415236.274 61.366 429194.966 4415233.069 61.369 429194.489 4415230.773 61.393 429193.430 4415225.545 61.421 429192.006 4415218.692 61.468 429191.177 4415214.847 61.492 429190.119 4415210.104 61.511 429189.620 4415207.954 61.525 429189.407 4415207.062 61.529 429189.133 4415206.015 61.533 429188.173 4415202.509 61.546 429187.471 4415200.187 61.563 429186.616 4415197.375 61.540 429185.663 4415194.531 61.584 429184.915 4415192.281 61.589 429184.094 4415189.988 61.609 429183.331 4415187.932 61.621 429182.614 4415186.066 61.628 429181.876 4415184.207 61.637 429181.078 4415182.221 61.646 429180.179 4415180.214 61.651 429162.249 4415148.015 61.838 429162.202 4415147.758 61.829 429160.913 4415145.705 61.841 429159.943 4415144.303 61.859 429158.171 4415141.882 61.873 429156.776 4415140.035 61.874 429155.456 4415138.364 61.894 429152.124 4415134.216 61.939 429150.689 4415132.503 61.944 429149.388 4415130.985 61.950 429148.329 4415129.764 61.955 429147.440 4415128.766 61.963,,,,,,,,,
2,429123.140 4415105.950 62.186 429121.947 4415105.027 62.145 429119.653 4415103.272 62.155 429117.146 4415101.432 62.171 429114.078 4415099.256 62.198 429113.056 4415098.557 62.208 429110.565 4415096.885 62.232 429108.024 4415095.226 62.220 429105.859 4415093.880 62.252 429104.016 4415092.740 62.246 429102.944 4415092.103 62.260 429100.351 4415090.596 62.287 429097.966 4415089.248 62.296 429095.344 4415087.810 62.299 429093.344 4415086.738 62.322 429092.577 4415086.346 62.329 429090.691 4415085.423 62.341 429088.846 4415084.561 62.350 429086.259 4415083.456 62.356 429084.240 4415082.616 62.369 429082.309 4415081.810 62.385 429079.857 4415080.765 62.386 429077.550 4415079.796 62.378 429075.267 4415078.857 62.417 429073.406 4415078.079 62.428 429071.441 4415077.272 62.435 429069.407 4415076.383 62.440 429067.413 4415075.396 62.453 429065.442 4415074.412 62.460 429063.588 4415073.478 62.470 429061.501 4415072.432 62.484 429059.383 4415071.363 62.496 429057.119 4415070.228 62.510 429055.159 4415069.245 62.521 429052.589 4415067.949 62.518 429050.459 4415066.888 62.523 429048.125 4415065.707 62.549 429046.086 4415064.655 62.536 429043.346 4415063.310 62.581 429041.032 4415062.146 62.594 429038.817 4415061.040 62.609 429032.255 4415057.761 62.690,,,,,,,,,
3,429024.808 4415018.179 62.843 429026.913 4415013.337 62.806 429027.987 4415010.824 62.780 429028.844 4415008.800 62.780 429029.675 4415006.831 62.767 429030.622 4415004.574 62.763 429031.387 4415002.706 62.754 429032.236 4415000.623 62.746 429033.010 4414998.670 62.736 429033.816 4414996.611 62.723 429034.600 4414994.536 62.709 429035.337 4414992.575 62.696 429036.311 4414989.964 62.693 429036.991 4414988.040 62.680 429037.956 4414985.198 62.666 429038.688 4414983.001 62.655 429039.441 4414980.716 62.644 429040.125 4414978.606 62.638 429040.718 4414976.695 62.628 429041.384 4414974.506 62.617 429041.974 4414972.569 62.607 429042.833 4414969.747 62.602 429043.425 4414967.655 62.597 429044.024 4414965.488 62.590 429044.576 4414963.448 62.583 429045.112 4414961.377 62.575 429045.656 4414959.275 62.567 429046.366 4414956.356 62.552 429046.864 4414954.277 62.539 429047.520 4414951.453 62.518 429048.009 4414949.307 62.501 429048.490 4414947.145 62.486 429048.932 4414945.064 62.472 429049.362 4414942.918 62.459 429049.785 4414940.657 62.439 429050.170 4414938.530 62.430 429050.566 4414936.284 62.420 429051.114 4414933.144 62.417 429051.445 4414931.099 62.408 429051.845 4414928.499 62.394 429052.173 4414926.401 62.390 429052.388 4414924.938 62.386 429052.721 4414922.538 62.388 429053.052 4414920.083 62.380 429053.289 4414917.973 62.377 429053.524 4414915.874 62.370 429053.775 4414913.611 62.360 429054.001 4414911.569 62.348 429054.214 4414909.421 62.336 429054.502 4414906.380 62.321 429054.718 4414904.046 62.318 429054.954 4414901.507 62.302 429055.137 4414899.485 62.290 429055.344 4414897.172 62.281 429055.543 4414895.107 62.273 429055.740 4414892.931 62.261 429055.936 4414890.749 62.248 429056.168 4414888.125 62.238 429056.420 4414885.297 62.228 429056.598 4414883.238 62.222 429056.781 4414881.176 62.215 429056.981 4414879.061 62.207 429057.186 4414876.811 62.201 429057.391 4414874.705 62.187 429057.582 4414872.659 62.169 429057.791 4414870.445 62.157 429057.993 4414868.364 62.147 429058.240 4414865.948 62.131 429058.468 4414863.756 62.117 429058.860 4414860.245 62.092 429059.141 4414857.856 62.105 429059.473 4414855.510 62.095 429059.808 4414853.465 62.083 429060.255 4414850.841 62.065 429060.638 4414848.635 62.053 429061.027 4414846.513 62.041 429061.410 4414844.473 62.033 429061.852 4414842.257 62.028 429062.341 4414839.941 62.020 429062.807 4414837.867 62.020 429063.495 4414834.943 62.005 429063.975 4414832.965 61.995 429064.526 4414830.800 61.985 429065.297 4414827.883 61.961 429065.824 4414825.940 61.948 429066.404 4414823.913 61.936 429067.283 4414820.992 61.925 429067.870 4414819.076 61.920 429068.750 4414816.313 61.913 429069.388 4414814.403 61.906 429070.087 4414812.391 61.901 429070.773 4414810.453 61.895 429071.568 4414808.323 61.880 429072.469 4414806.145 61.886 429073.810 4414805.761 61.882 429074.598 4414803.752 61.859 429075.363 4414801.869 61.843 429076.133 4414799.986 61.832 429076.990 4414797.998 61.815 429077.983 4414795.694 61.808 429078.805 4414793.827 61.804 429079.710 4414791.859 61.801 429080.663 4414789.858 61.794 429081.627 4414787.798 61.782 429082.707 4414785.630 61.767 429090.385 4414768.818 61.685 429091.446 4414767.044 61.670 429092.870 4414764.828 61.660 429094.057 4414762.990 61.646 429095.652 4414760.528 61.633 429096.828 4414758.706 61.623 429098.168 4414756.667 61.607 429099.379 4414754.896 61.599 429100.513 4414753.219 61.595 429101.670 4414751.486 61.585 429102.904 4414749.663 61.574 429104.549 4414747.227 61.556 429105.797 4414745.382 61.548 429106.998 4414743.593 61.537 429108.817 4414740.902 61.521 429110.127 4414738.953 61.512 429111.335 4414737.160 61.508 429112.544 4414735.376 61.501 429113.687 4414733.675 61.495 429115.426 4414731.105 61.485 429116.822 4414729.048 61.469 429117.994 4414727.312 61.459 429119.147 4414725.600 61.445 429120.509 4414723.588 61.427 429121.751 4414721.739 61.413 429123.547 4414719.109 61.406 429124.888 4414717.122 61.403 429126.337 4414714.982 61.393 429128.049 4414712.441 61.378 429129.320 4414710.552 61.363 429130.500 4414708.805 61.349 429131.674 4414707.059 61.334 429133.349 4414704.573 61.325 429135.049 4414702.054 61.310 429136.206 4414700.338 61.303 429137.466 4414698.473 61.293 429138.690 4414696.665 61.282 429139.823 4414694.984 61.273 429140.959 4414693.309 61.261 429142.119 4414691.597 61.248 429143.322 4414689.827 61.233 429144.597 4414687.945 61.215 429146.101 4414685.732 61.192 429147.242 4414684.047 61.186 429148.424 4414682.286 61.178 429149.621 4414680.537 61.167 429150.967 4414678.547 61.160 429152.163 4414676.777 61.136 429153.391 4414674.953 61.127 429154.524 4414673.280 61.123 429155.885 4414671.274 61.124 429157.059 4414669.527 61.123 429158.215 4414667.797 61.115 429159.981 4414665.189 61.099 429161.161 4414663.423 61.093 429162.406 4414661.578 61.082 429163.528 4414659.914 61.074 429165.399 4414657.145 61.059 429166.622 4414655.325 61.046 429167.823 4414653.582 61.036 429169.232 4414651.469 61.029 429170.367 4414649.785 61.017 429171.582 4414647.992 60.992 429172.777 4414646.225 60.959 429174.503 4414643.683 60.922 429175.783 4414641.804 60.893 429176.906 4414640.134 60.915 429178.087 4414638.377 60.932 429179.261 4414636.633 60.931 429180.433 4414634.903 60.919 429181.568 4414633.232 60.906 429182.785 4414631.426 60.902 429184.130 4414629.439 60.898 429185.805 4414626.960 60.881 429187.211 4414624.875 60.869 429188.438 4414623.062 60.861 429189.779 4414621.081 60.850 429190.914 4414619.393 60.840 429192.040 4414617.733 60.830 429193.179 4414616.042 60.819 429194.698 4414613.791 60.806 429196.361 4414611.315 60.795 429197.585 4414609.509 60.785 429198.722 4414607.830 60.775 429199.952 4414606.005 60.763 429201.094 4414604.313 60.751 429202.778 4414601.830 60.736 429203.984 4414600.038 60.723 429205.891 4414597.207 60.714 429207.049 4414595.493 60.707 429208.198 4414593.789 60.698 429209.600 4414591.811 60.692 429211.050 4414591.474 60.677 429212.297 4414589.767 60.656 429213.552 4414587.948 60.657 429214.925 4414585.984 60.642 429216.181 4414584.177 60.634 429217.462 4414582.344 60.625 429218.789 4414580.393 60.618 429220.025 4414578.582 60.611 429221.271 4414576.780 60.603 429222.819 4414574.524 60.590 429224.085 4414572.725 60.582 429225.316 4414570.940 60.574 429226.790 4414568.803 60.565 429228.072 4414566.909 60.560 429229.343 4414565.083 60.557 429230.508 4414563.325 60.559 429231.213 4414562.185 60.566 429230.790 4414561.141 60.565 429231.029 4414560.053 60.549 429232.230 4414558.241 60.526 429233.473 4414556.400 60.510 429234.642 4414554.658 60.497 429235.925 4414552.753 60.492 429237.124 4414550.969 60.487 429238.289 4414549.246 60.477 429239.670 4414547.211 60.463 429240.865 4414545.453 60.449 429242.590 4414542.901 60.431 429243.730 4414541.210 60.423 429244.968 4414539.378 60.412 429245.973 4414537.883 60.403 429247.175 4414536.094 60.395 429248.339 4414534.371 60.385 429249.643 4414532.442 60.370 429250.871 4414530.633 60.361 429252.106 4414528.807 60.346 429253.419 4414526.862 60.339 429254.627 4414525.077 60.329 429256.004 4414523.024 60.311 429257.175 4414521.300 60.303 429258.468 4414519.397 60.300 429259.679 4414517.619 60.298 429260.982 4414515.733 60.291 429262.137 4414514.090 60.278 429263.964 4414511.512 60.263 429265.410 4414509.522 60.248 429266.666 4414507.811 60.239 429268.101 4414505.932 60.224 429269.439 4414504.222 60.211 429270.693 4414502.623 60.198 429271.993 4414500.992 60.194 429273.249 4414499.419 60.192 429274.731 4414497.613 60.179 429276.224 4414495.800 60.176 429278.390 4414493.306 60.149 429280.119 4414491.393 60.135 429281.768 4414489.568 60.127 429283.296 4414487.909 60.115 429284.836 4414486.258 60.102 429287.007 4414484.011 60.086 429288.537 4414482.439 60.074 429290.044 4414480.929 60.066 429291.547 4414479.444 60.063 429292.986 4414478.047 60.058 429294.826 4414476.296 60.042 429296.392 4414474.817 60.034 429297.974 4414473.343 60.019 429299.514 4414471.932 60.007 429301.193 4414470.435 59.999 429302.704 4414469.107 59.990 429304.440 4414467.617 59.975 429306.060 4414466.240 59.961 429308.380 4414464.328 59.938 429310.059 4414462.976 59.934 429311.625 4414461.725 59.931 429313.837 4414459.983 59.921 429315.549 4414458.665 59.911 429317.546 4414457.174 59.896 429319.470 4414455.752 59.880 429321.184 4414454.503 59.865 429323.241 4414453.033 59.848 429324.894 4414451.866 59.840 429326.736 4414450.610 59.825 429328.467 4414449.471 59.816 429330.214 4414448.331 59.804 429331.922 4414447.230 59.796 429334.603 4414445.546 59.779 429336.389 4414444.442 59.769 429338.293 4414443.290 59.762 429340.133 4414442.179 59.758 429341.926 4414441.122 59.767 429343.854 4414440.006 59.755 429346.322 4414438.638 59.743 429348.106 4414437.649 59.730 429350.033 4414436.608 59.718 429352.218 4414435.447 59.708 429354.014 4414434.529 59.701 429355.894 4414433.608 59.691 429357.842 4414432.668 59.682 429359.756 4414431.780 59.674 429361.803 4414430.820 59.670 429364.464 4414429.600 59.658 429366.581 4414428.645 59.647 429368.501 4414427.815 59.636 429370.426 4414426.998 59.626 429372.396 4414426.172 59.613 429374.597 4414425.285 59.602 429376.592 4414424.496 59.593 429378.698 4414423.699 59.578 429380.758 4414422.932 59.562 429382.771 4414422.191 59.552 429388.869 4414420.125 59.531 429405.663 4414414.615 59.417,,,,,,,,,
4,429436.512 4414397.700 59.218 429443.171 4414396.489 59.091 429446.114 4414395.993 59.077 429446.285 4414395.979 59.093 429450.453 4414395.148 59.103 429454.484 4414394.330 59.059 429457.421 4414393.718 59.081 429458.977 4414393.401 59.073 429468.702 4414391.415 58.992 429474.096 4414390.314 58.968 429476.975 4414389.744 58.954 429480.137 4414389.087 58.934 429482.820 4414388.556 58.894 429485.573 4414387.974 58.922 429490.210 4414387.059 58.915 429495.069 4414386.072 58.894 429500.056 4414385.068 58.828 429502.138 4414384.634 58.827 429509.071 4414383.250 58.824 429522.641 4414380.532 58.769 429528.970 4414379.250 58.721 429531.911 4414378.661 58.668 429535.222 4414377.984 58.700 429537.789 4414377.464 58.696 429547.600 4414375.469 58.655 429556.662 4414373.647 58.601 429559.281 4414373.106 58.586 429563.507 4414372.276 58.567 429565.966 4414371.768 58.548 429570.542 4414370.857 58.515 429573.218 4414370.355 58.493 429584.985 4414367.929 58.449 429599.410 4414365.043 58.395 429607.245 4414363.443 58.329 429609.412 4414363.019 58.310 429612.285 4414362.433 58.288 429616.682 4414361.561 58.229 429619.144 4414361.044 58.240 429622.086 4414360.453 58.238 429624.561 4414359.953 58.238 429626.824 4414359.366 58.235 429644.828 4414350.833 58.091 429650.444 4414349.668 58.062 429653.033 4414349.133 58.057 429655.142 4414348.713 58.047 429658.275 4414348.085 58.034 429661.036 4414347.523 58.020 429665.738 4414346.564 58.000 429667.840 4414346.156 57.989 429672.087 4414345.298 57.972 429674.125 4414344.882 57.942 429677.801 4414344.125 58.020 429681.031 4414343.470 58.047 429682.014 4414343.286 58.111 429684.113 4414342.839 58.063 429686.527 4414342.355 58.076 429699.492 4414339.842 58.148,,,,,,,,,
5,429701.355 4414374.039 58.294 429694.087 4414375.437 58.102 429691.842 4414375.883 58.064 429689.193 4414376.394 58.022 429686.838 4414376.904 57.994 429684.166 4414377.468 57.964 429681.230 4414378.057 57.922 429678.864 4414378.499 57.943 429675.523 4414379.186 57.941 429673.503 4414379.590 57.943 429670.670 4414380.156 57.945 429668.546 4414380.611 57.959 429666.361 4414381.039 57.970 429663.967 4414381.503 57.979 429661.350 4414382.010 57.994 429657.554 4414382.778 58.013 429654.756 4414383.317 58.026 429651.635 4414384.003 58.026 429630.777 4414383.142 58.260 429628.404 4414383.604 58.257 429581.085 4414393.133 58.484 429578.408 4414393.669 58.491 429576.123 4414394.117 58.468 429573.855 4414394.575 58.525 429569.113 4414395.551 58.565 429555.477 4414398.315 58.620 429546.061 4414400.195 58.669 429541.016 4414401.236 58.687 429536.227 4414402.185 58.681 429534.055 4414402.632 58.716 429529.067 4414403.628 58.740 429524.500 4414404.561 58.762 429506.850 4414408.095 58.844 429503.908 4414408.681 58.834 429499.992 4414409.492 58.888 429495.766 4414410.343 58.894 429493.210 4414410.839 58.870 429490.526 4414411.397 58.918 429487.274 4414412.046 58.937 429479.409 4414413.652 58.948 429475.383 4414414.457 58.963 429467.647 4414416.027 59.024 429460.983 4414417.388 59.047 429457.384 4414418.140 59.028 429453.932 4414418.839 59.070 429450.010 4414419.625 59.096 429446.094 4414420.438 59.123 429441.072 4414421.435 59.140 429440.703 4414421.504 59.134 429438.680 4414421.902 59.145 429434.708 4414422.650 59.226,,,,,,,,,
