id(T),xyz(T),lane_type(L),lane_color(L)
20,429816.114 4414858.907 59.642 429814.252 4414849.651 59.781 429813.327 4414844.733 59.885 429812.339 4414839.857 59.929 429811.913 4414837.797 59.942 429811.657 4414836.476 59.946 429810.689 4414831.563 59.953 429809.697 4414826.649 59.966 429807.868 4414817.466 59.982 429807.810 4414817.193 59.986 429806.818 4414812.316 59.997 429805.843 4414807.416 60.021 429804.855 4414802.525 60.039 429804.232 4414799.431 60.040 429803.910 4414797.881 60.044 429802.934 4414792.990 60.051 429801.932 4414788.067 59.986 429800.932 4414783.163 59.934 429799.932 4414778.271 59.874 429798.949 4414773.402 59.805 429797.974 4414768.513 59.708 429796.978 4414763.621 59.610 429795.971 4414758.749 59.510 429794.980 4414753.865 59.440 429794.156 4414749.875 59.428 429787.809 4414718.418 59.539 429786.873 4414713.569 59.579 429786.061 4414709.381 59.595 429784.205 4414700.395 59.617 429784.135 4414699.937 59.620 429782.353 4414691.115 59.632 429781.145 4414685.248 59.646 429780.182 4414680.344 59.656 429778.163 4414670.538 59.671 429774.017 4414650.015 59.686 429765.129 4414605.945 59.627 429763.212 4414596.511 59.631 429763.183 4414596.295 59.632 429762.194 4414591.373 59.623 429761.199 4414586.449 59.601 429760.194 4414581.548 59.579 429759.211 4414576.627 59.567 429758.226 4414571.711 59.555 429757.237 4414566.804 59.533 429756.243 4414561.874 59.519 429755.232 4414556.888 59.512 429754.520 4414553.379 59.504 429754.475 4414552.869 59.719,2,
21,429762.175 4414551.386 59.571 429762.218 4414551.675 59.571 429762.416 4414552.548 59.558 429764.439 4414562.364 59.613 429767.090 4414575.744 59.663 429767.371 4414577.134 59.667 429768.327 4414581.617 59.679 429769.313 4414586.565 59.780 429770.292 4414591.409 59.793 429771.310 4414596.382 59.816 429772.285 4414601.219 59.828 429773.275 4414606.170 59.751 429774.184 4414610.604 59.846 429774.207 4414610.807 59.756 429775.195 4414615.621 59.755 429776.201 4414620.529 59.859 429777.174 4414625.394 59.779 429778.173 4414630.312 59.873 429779.132 4414635.247 59.883 429780.163 4414640.123 59.884 429781.130 4414645.092 59.892 429782.086 4414649.987 59.880 429782.684 4414652.911 59.822 429784.483 4414661.731 59.888 429786.078 4414669.594 59.874 429787.683 4414677.451 59.805 429787.749 4414677.794 59.854 429787.968 4414678.964 59.771 429788.983 4414683.785 59.848 429789.943 4414688.682 59.752 429790.714 4414692.602 59.827 429791.868 4414698.328 59.727 429792.083 4414699.364 59.712 429802.387 4414750.617 59.542 429803.814 4414757.848 59.679 429804.810 4414762.715 59.779 429805.461 4414765.788 59.841 429806.276 4414769.680 59.917 429807.251 4414774.628 60.032 429808.235 4414779.521 60.101 429808.958 4414783.051 60.147 429809.894 4414787.591 60.200 429811.066 4414793.358 60.158 429812.043 4414798.220 60.222 429813.013 4414803.087 60.202 429813.555 4414805.651 60.122 429815.521 4414815.728 60.086 429816.521 4414820.627 60.062 429817.540 4414825.515 60.138 429818.456 4414830.130 60.051 429818.501 4414830.294 60.119 429819.247 4414833.807 60.009 429820.664 4414841.247 59.916 429821.664 4414846.160 59.940 429821.933 4414847.361 59.850 429823.484 4414854.643 59.850,2,
22,429819.885 4414819.745 60.026 429820.888 4414824.604 60.016 429821.756 4414829.078 60.005 429824.699 4414843.729 59.844 429825.720 4414848.622 59.791 429826.286 4414851.665 59.765 429826.387 4414852.316 59.766 429826.439 4414852.643 59.722,2,
23,429810.112 4414897.971 60.044 429805.975 4414900.763 60.044 429801.845 4414903.551 60.073 429797.719 4414906.357 60.109 429793.575 4414909.159 60.156 429789.438 4414911.969 60.199 429784.666 4414915.220 60.244 429784.490 4414915.333 60.243 429780.362 4414918.148 60.272 429776.228 4414920.967 60.294 429772.092 4414923.789 60.327 429767.970 4414926.609 60.366 429763.824 4414929.423 60.391 429759.636 4414932.263 60.413 429755.503 4414935.118 60.426 429751.372 4414937.934 60.453 429747.221 4414940.767 60.475 429743.077 4414943.579 60.483 429738.943 4414946.379 60.508 429734.802 4414949.199 60.533 429730.652 4414952.005 60.555 429726.526 4414954.802 60.564 429722.406 4414957.617 60.574 429718.291 4414960.464 60.594 429714.200 4414963.335 60.608 429710.140 4414966.278 60.619 429706.108 4414969.270 60.632 429702.158 4414972.351 60.643 429697.440 4414976.123 60.651 429697.297 4414976.288 60.646 429693.457 4414979.466 60.641 429689.655 4414982.685 60.644 429685.876 4414985.945 60.653 429682.122 4414989.257 60.663 429678.404 4414992.595 60.667 429674.735 4414995.958 60.675 429671.082 4414999.379 60.674 429667.463 4415002.826 60.669 429663.877 4415006.327 60.668 429660.338 4415009.838 60.661 429656.850 4415013.388 60.651 429653.395 4415017.006 60.638 429649.997 4415020.681 60.632 429646.652 4415024.404 60.621 429643.370 4415028.132 60.602 429640.086 4415031.928 60.591 429638.661 4415033.581 60.583,2,
24,429808.436 4414890.932 60.080 429805.965 4414892.538 60.172 429805.757 4414892.937 60.121 429805.617 4414893.357 60.113 429804.835 4414893.896 60.120 429800.692 4414896.689 60.157 429796.542 4414899.491 60.186 429792.402 4414902.297 60.215 429788.273 4414905.080 60.263 429780.908 4414910.054 60.338 429780.832 4414910.108 60.332 429776.689 4414912.911 60.356 429772.537 4414915.703 60.381 429768.383 4414918.512 60.408 429764.250 4414921.299 60.435 429760.126 4414924.086 60.478 429755.983 4414926.889 60.510 429751.855 4414929.678 60.529 429747.719 4414932.454 60.541 429743.548 4414935.264 60.557 429739.395 4414938.037 60.577 429735.252 4414940.832 60.584 429731.075 4414943.629 60.609 429726.925 4414946.403 60.635 429722.776 4414949.174 60.640 429718.611 4414951.985 60.642 429714.433 4414954.757 60.649 429710.277 4414957.560 60.657 429706.164 4414960.405 60.665 429702.092 4414963.342 60.676 429698.144 4414966.362 60.681 429694.244 4414969.429 60.687 429693.008 4414970.419 60.688 429692.994 4414970.493 60.686 429689.137 4414973.671 60.687 429685.315 4414976.884 60.696 429681.518 4414980.163 60.708 429677.771 4414983.452 60.718 429674.052 4414986.786 60.734 429670.372 4414990.147 60.739 429666.703 4414993.558 60.737 429663.071 4414997.017 60.732 429659.489 4415000.503 60.741 429655.936 4415004.029 60.740 429652.417 4415007.589 60.734 429648.926 4415011.176 60.722 429645.534 4415014.819 60.722 429642.185 4415018.522 60.717 429638.887 4415022.281 60.704 429635.623 4415026.064 60.692 429632.385 4415029.851 60.677 429629.181 4415033.682 60.662 429625.969 4415037.500 60.650 429620.791 4415043.747 60.625 429617.630 4415047.616 60.613 429614.487 4415051.512 60.597 429611.417 4415055.428 60.582 429608.282 4415059.506 60.572 429608.190 4415059.714 60.571,2,
25,429602.676 4415067.097 60.534 429599.796 4415071.183 60.537 429596.966 4415075.301 60.525 429594.168 4415079.459 60.502 429591.412 4415083.606 60.487 429588.692 4415087.783 60.481 429586.010 4415092.013 60.462 429583.298 4415096.417 60.449 429580.727 4415100.718 60.433 429578.175 4415105.031 60.417 429575.678 4415109.371 60.398 429573.202 4415113.691 60.376 429570.820 4415118.080 60.358 429568.470 4415122.509 60.334 429564.005 4415131.073 60.304 429564.009 4415131.133 60.312 429561.766 4415135.617 60.306 429559.569 4415140.111 60.292 429557.409 4415144.632 60.272 429555.327 4415149.168 60.257 429553.273 4415153.719 60.242 429551.179 4415158.523 60.225 429549.200 4415163.085 60.202 429547.256 4415167.699 60.181 429545.315 4415172.284 60.171 429543.392 4415176.895 60.157 429541.469 4415181.501 60.145 429539.554 4415186.113 60.124 429538.209 4415189.471 60.117 429536.375 4415193.741 60.116 429534.465 4415198.341 60.115 429532.550 4415202.976 60.110 429530.646 4415207.604 60.082 429528.711 4415212.223 60.069 429527.833 4415214.302 60.061 429527.770 4415214.483 60.060 429525.837 4415219.102 60.046 429523.915 4415223.720 60.056 429522.006 4415228.329 60.076 429520.076 4415232.946 60.076 429518.140 4415237.557 60.068 429516.192 4415242.142 60.058 429514.204 4415246.731 60.049 429512.160 4415251.309 60.023 429510.073 4415255.829 59.992 429509.262 4415257.497 59.986 429507.229 4415261.712 59.976 429504.975 4415266.172 59.990 429502.645 4415270.583 60.001 429500.229 4415274.963 60.032 429497.735 4415279.296 60.047 429495.176 4415283.589 60.059 429492.519 4415287.813 60.069 429489.791 4415292.012 60.072 429487.010 4415296.147 60.063 429484.161 4415300.262 60.072 429479.839 4415306.349 60.087 429479.723 4415306.422 60.085 429476.710 4415310.416 60.107 429473.626 4415314.371 60.131 429470.484 4415318.262 60.143 429467.275 4415322.070 60.155 429463.992 4415325.842 60.170 429462.998 4415327.003 60.171 429459.931 4415330.318 60.185 429456.512 4415333.954 60.203 429453.024 4415337.542 60.227 429449.474 4415341.086 60.237 429445.880 4415344.549 60.247 429442.254 4415348.001 60.263 429438.598 4415351.407 60.286 429434.988 4415354.768 60.304 429431.323 4415358.148 60.322 429427.650 4415361.536 60.329 429421.549 4415367.110 60.350 429421.518 4415367.139 60.358 429417.861 4415370.555 60.384 429414.180 4415373.936 60.401 429410.506 4415377.326 60.422 429406.843 4415380.689 60.435 429403.170 4415384.081 60.452 429399.477 4415387.480 60.485 429395.803 4415390.840 60.501 429392.121 4415394.238 60.512 429388.446 4415397.623 60.534 429384.768 4415401.018 60.554 429381.084 4415404.406 60.574 429377.399 4415407.806 60.579 429373.716 4415411.200 60.614 429370.024 4415414.591 60.640 429366.354 4415417.975 60.657 429362.673 4415421.376 60.671 429358.064 4415425.621 60.684 429357.988 4415425.698 60.683 429354.321 4415429.082 60.702 429350.634 4415432.452 60.705 429346.932 4415435.849 60.741 429343.063 4415439.351 60.773 429339.406 4415442.782 60.780 429335.722 4415446.142 60.799 429332.047 4415449.547 60.809 429328.380 4415452.933 60.846 429324.706 4415456.323 60.882 429321.007 4415459.733 60.908 429317.300 4415463.143 60.921 429313.631 4415466.541 60.911 429309.950 4415469.923 60.948 429302.851 4415476.431 60.977 429302.808 4415476.500 60.977 429299.137 4415479.886 60.988 429295.466 4415483.268 61.002 429291.786 4415486.648 61.049 429288.121 4415490.033 61.062 429286.574 4415491.318 61.068,2,
26,429607.911 4415072.170 60.444 429605.030 4415076.280 60.444 429602.208 4415080.411 60.434 429599.412 4415084.551 60.411 429596.656 4415088.725 60.395 429593.960 4415092.935 60.376 429591.308 4415097.184 60.357 429588.699 4415101.449 60.336 429586.134 4415105.725 60.319 429583.608 4415110.036 60.303 429581.140 4415114.368 60.291 429578.701 4415118.750 60.271 429576.296 4415123.159 60.252 429573.957 4415127.570 60.236 429571.648 4415131.997 60.226 429570.480 4415134.279 60.221 429570.416 4415134.451 60.223 429568.191 4415138.912 60.212 429566.000 4415143.399 60.193 429563.845 4415147.919 60.172 429561.763 4415152.454 60.155 429559.715 4415157.006 60.143 429557.709 4415161.575 60.133 429555.739 4415166.144 60.124 429553.785 4415170.749 60.118 429551.852 4415175.381 60.107 429549.910 4415180.006 60.095 429547.976 4415184.648 60.079 429546.070 4415189.242 60.054 429544.154 4415193.860 60.028 429542.245 4415198.465 60.013 429540.316 4415203.102 60.009 429538.400 4415207.705 60.005 429536.480 4415212.324 60.001 429534.590 4415216.866 60.006 429534.435 4415217.224 60.006 429532.517 4415221.832 59.994 429530.603 4415226.434 59.996 429528.698 4415231.047 60.010 429526.773 4415235.654 60.020 429524.812 4415240.293 60.007 429522.849 4415244.865 60.000 429520.864 4415249.442 59.988 429518.801 4415254.012 59.969 429516.706 4415258.565 59.940 429514.546 4415263.081 59.922 429512.333 4415267.544 59.919 429510.022 4415271.996 59.930 429507.654 4415276.409 59.958 429505.209 4415280.746 59.976 429502.677 4415285.071 59.988 429500.063 4415289.330 60.002 429497.386 4415293.548 60.007 429494.645 4415297.718 60.009 429491.879 4415301.799 60.003 429489.013 4415305.888 60.007 429485.564 4415310.709 60.014 429485.500 4415310.724 60.016 429482.491 4415314.705 60.027 429479.422 4415318.639 60.034 429476.271 4415322.523 60.054 429473.066 4415326.354 60.076 429469.787 4415330.131 60.100 429466.437 4415333.855 60.107 429463.031 4415337.523 60.118 429459.586 4415341.112 60.143 429456.060 4415344.663 60.158 429452.482 4415348.170 60.162 429448.899 4415351.624 60.169 429445.261 4415355.051 60.189 429441.611 4415358.460 60.208 429437.937 4415361.865 60.229 429434.258 4415365.252 60.248 429430.575 4415368.634 60.267 429429.017 4415369.984 60.284,2,
27,429311.893 4415476.321 60.876 429304.498 4415483.129 60.903 429300.862 4415486.501 60.929 429297.194 4415489.831 60.966 429293.488 4415493.266 60.999 429289.795 4415496.680 61.013 429286.604 4415499.558 61.019 429286.353 4415499.750 61.012,2,
28,429309.829 4415474.164 60.912 429302.407 4415480.983 60.928 429298.723 4415484.379 60.953 429295.111 4415487.699 60.991 429291.449 4415491.067 61.014 429287.774 4415494.466 61.030 429285.490 4415496.595 61.042 429285.213 4415496.872 61.040,2,
29,429235.804 4415386.192 60.999 429234.819 4415381.296 61.020 429233.839 4415376.406 61.054 429232.852 4415371.496 61.064 429231.864 4415366.605 61.066 429230.878 4415361.702 61.079 429229.896 4415356.818 61.098 429228.913 4415351.929 61.104 429227.914 4415347.040 61.136 429226.937 4415342.148 61.138 429225.950 4415337.239 61.166 429224.959 4415332.331 61.179 429223.973 4415327.439 61.194 429222.973 4415322.527 61.206 429221.990 4415317.624 61.218 429221.002 4415312.732 61.225 429220.011 4415307.831 61.256 429219.593 4415305.807 61.252,2,
30,429250.140 4415496.676 61.058 429250.135 4415493.001 61.027 429247.377 4415478.998 60.936 429246.306 4415474.126 60.924 429245.327 4415469.030 60.908 429245.189 4415468.454 60.904 429244.183 4415463.533 60.894 429243.168 4415458.606 60.881 429242.177 4415453.746 60.874 429241.176 4415448.849 60.865 429240.212 4415443.992 60.860 429239.227 4415439.101 60.853 429238.230 4415434.200 60.847 429237.247 4415429.314 60.835 429236.256 4415424.400 60.839 429235.261 4415419.492 60.850 429234.264 4415414.584 60.851 429233.270 4415409.644 60.848 429232.284 4415404.739 60.873 429231.278 4415399.850 60.884 429230.283 4415394.909 60.893 429229.285 4415390.017 60.904 429227.974 4415383.436 60.917 429227.938 4415383.306 60.924 429226.960 4415378.448 60.945 429225.994 4415373.550 60.961 429224.999 4415368.667 60.976 429223.996 4415363.712 60.998 429223.007 4415358.817 61.014 429222.012 4415353.895 61.038 429220.996 4415348.975 61.046 429220.040 4415344.106 61.065 429219.047 4415339.186 61.078 429218.096 4415334.391 61.093 429217.091 4415329.475 61.107 429216.094 4415324.581 61.120 429215.107 4415319.671 61.138 429214.132 4415314.783 61.155 429212.351 4415305.974 61.165 429212.231 4415305.312 61.163 429211.236 4415300.399 61.177 429210.232 4415295.479 61.196 429209.948 4415294.308 61.200 429209.549 4415292.128 61.212 429206.213 4415275.540 61.262 429205.193 4415270.649 61.278 429204.207 4415265.786 61.294 429203.230 4415260.907 61.318 429202.229 4415255.974 61.337 429201.233 4415251.099 61.354 429200.241 4415246.206 61.369 429199.276 4415241.317 61.381 429198.281 4415236.419 61.402 429197.269 4415231.414 61.424 429197.085 4415230.627 61.428 429197.059 4415230.309 61.431 429196.090 4415225.526 61.450 429195.064 4415220.573 61.474 429194.047 4415215.692 61.499 429192.976 4415210.808 61.517 429191.842 4415205.963 61.548 429190.480 4415201.080 61.577 429189.013 4415196.302 61.588 429187.423 4415191.557 61.610 429185.732 4415186.843 61.649 429183.883 4415182.200 61.672 429182.519 4415179.019 61.688,2,
31,429218.354 4415299.659 61.243 429217.372 4415294.750 61.258 429216.377 4415289.848 61.291 429215.548 4415285.724 61.305,2,
32,429213.109 4415273.695 61.347 429212.115 4415268.798 61.363 429211.126 4415263.910 61.368 429210.986 4415263.254 61.370,2,
33,429168.555 4415145.987 61.887 429165.727 4415141.853 61.925 429162.794 4415137.820 61.952 429159.766 4415133.878 61.981 429156.696 4415130.061 62.013 429153.476 4415126.240 62.029 429152.497 4415125.129 62.034 429152.048 4415124.628 62.047,2,
34,429130.961 4415099.107 62.256 429126.211 4415095.404 62.303 429125.985 4415095.571 62.290 429125.883 4415095.562 62.289 429123.061 4415093.612 62.307 429118.982 4415090.701 62.338 429117.219 4415089.494 62.347 429114.812 4415087.879 62.358 429113.046 4415086.740 62.369 429110.554 4415085.167 62.387 429106.217 4415082.576 62.413 429101.903 4415080.140 62.425 429097.534 4415077.842 62.451 429093.032 4415075.579 62.482 429088.519 4415073.316 62.516 429084.092 4415071.105 62.564 429079.634 4415068.874 62.599 429075.138 4415066.617 62.638 429070.727 4415064.368 62.671 429066.350 4415062.201 62.686 429061.870 4415059.965 62.715 429057.473 4415057.689 62.743 429057.151 4415057.543 62.753 429052.654 4415055.359 62.772 429048.205 4415053.142 62.811 429043.838 4415050.756 62.810,2,
35,429069.363 4415070.412 62.569 429064.914 4415068.173 62.594 429045.312 4415058.373 62.732 429040.844 4415056.136 62.753 429036.421 4415053.916 62.746 429035.248 4415053.320 62.749 429034.615 4415053.011 62.748 429034.378 4415052.892 62.758,2,
36,429037.678 4415046.873 62.858 429037.980 4415046.999 62.785 429043.938 4415050.099 62.819 429044.664 4415049.900 62.814 429049.472 4415052.284 62.813 429049.759 4415052.419 62.802 429056.037 4415055.581 62.761 429060.552 4415057.838 62.725 429065.021 4415060.080 62.697 429069.456 4415062.299 62.673 429073.918 4415064.542 62.643 429078.387 4415066.796 62.606 429082.851 4415069.031 62.586 429087.302 4415071.259 62.528 429091.784 4415073.503 62.498 429096.247 4415075.722 62.466 429100.650 4415078.038 62.433 429105.052 4415080.419 62.424 429105.536 4415080.691 62.394 429109.836 4415083.249 62.396 429114.075 4415085.905 62.367 429118.262 4415088.667 62.345 429122.376 4415091.502 62.319 429126.465 4415094.588 62.284,2,
37,429017.303 4415016.385 62.744 429019.338 4415011.840 62.716 429021.360 4415007.275 62.697 429023.359 4415002.694 62.672 429025.264 4414998.079 62.651 429027.085 4414993.440 62.633 429028.833 4414988.751 62.609 429030.504 4414984.023 62.586 429032.386 4414978.533 62.557 429032.450 4414978.194 62.553 429033.955 4414973.434 62.533 429035.386 4414968.643 62.507 429036.768 4414963.854 62.490 429038.047 4414959.036 62.463 429039.240 4414954.198 62.435 429040.364 4414949.364 62.407 429041.436 4414944.474 62.382 429042.423 4414939.568 62.361 429043.332 4414934.658 62.338 429044.142 4414929.793 62.310 429044.875 4414924.870 62.291 429045.558 4414919.899 62.270 429046.191 4414914.947 62.247 429046.244 4414914.337 62.240 429046.763 4414909.404 62.219 429047.249 4414904.397 62.193 429047.708 4414899.412 62.168 429048.134 4414894.433 62.155 429048.571 4414889.411 62.128 429049.031 4414884.426 62.109 429049.452 4414879.457 62.090 429049.902 4414874.491 62.072 429050.383 4414869.493 62.057 429050.900 4414864.516 62.031 429051.472 4414859.559 61.996 429052.097 4414854.607 61.982 429052.844 4414849.651 61.961 429053.750 4414844.739 61.942 429054.699 4414839.870 61.920 429054.759 4414839.800 61.915 429055.830 4414834.917 61.895 429056.979 4414830.049 61.875 429058.264 4414825.200 61.856 429059.669 4414820.408 61.840 429061.173 4414815.619 61.826 429062.745 4414810.858 61.802 429064.447 4414806.155 61.781 429066.294 4414801.494 61.751 429068.251 4414796.892 61.724 429070.281 4414792.328 61.693 429072.386 4414787.807 61.668 429074.521 4414783.288 61.642 429076.749 4414778.800 61.620 429079.005 4414774.342 61.601 429081.181 4414770.121 61.583 429081.253 4414770.040 61.581 429083.636 4414765.650 61.559 429086.227 4414761.370 61.539 429088.980 4414757.187 61.521 429091.720 4414753.037 61.502 429094.491 4414748.901 61.482 429097.285 4414744.740 61.458 429100.071 4414740.610 61.435 429102.871 4414736.461 61.416 429105.668 4414732.313 61.392 429108.478 4414728.149 61.367 429111.281 4414723.995 61.335 429114.085 4414719.852 61.310 429116.886 4414715.714 61.285 429119.680 4414711.556 61.257 429122.553 4414707.281 61.226 429122.913 4414706.752 61.226 429125.707 4414702.617 61.208 429128.508 4414698.483 61.181 429131.309 4414694.337 61.152 429134.079 4414690.225 61.133 429136.915 4414686.069 61.111 429139.716 4414681.923 61.087 429142.515 4414677.787 61.058 429145.328 4414673.599 61.026 429148.128 4414669.433 60.996 429151.032 4414665.152 60.996 429153.830 4414660.981 60.981 429156.626 4414656.835 60.965 429159.429 4414652.713 60.939 429164.474 4414645.258 60.895 429164.658 4414644.988 60.897 429167.444 4414640.846 60.874 429170.255 4414636.705 60.856 429173.064 4414632.547 60.834 429175.869 4414628.402 60.807 429178.661 4414624.260 60.781 429181.480 4414620.103 60.754 429184.279 4414615.955 60.729 429187.078 4414611.813 60.708 429189.878 4414607.663 60.689 429192.668 4414603.532 60.663 429195.469 4414599.384 60.635 429198.256 4414595.240 60.611 429201.061 4414591.071 60.591 429204.960 4414585.276 60.559 429205.155 4414584.983 60.559 429207.933 4414580.883 60.538 429210.732 4414576.732 60.508 429213.529 4414572.600 60.478 429216.325 4414568.475 60.471 429219.140 4414564.336 60.458 429221.932 4414560.198 60.437 429224.705 4414556.102 60.418 429227.498 4414551.967 60.394 429230.294 4414547.842 60.372 429233.102 4414543.682 60.352 429235.916 4414539.523 60.322 429238.694 4414535.404 60.296 429241.490 4414531.251 60.270 429245.110 4414525.855 60.236 429245.399 4414525.452 60.236 429248.174 4414521.329 60.211 429250.966 4414517.211 60.189 429253.783 4414513.081 60.167 429256.642 4414508.959 60.146 429259.563 4414504.904 60.123 429262.550 4414500.885 60.099 429265.629 4414496.925 60.070 429268.799 4414493.067 60.043 429272.061 4414489.261 60.011 429275.385 4414485.537 60.004 429278.752 4414481.846 59.987 429281.369 4414479.120 59.969 429281.530 4414478.966 59.969 429285.040 4414475.428 59.951 429288.607 4414471.952 59.929 429292.261 4414468.507 59.905 429295.970 4414465.139 59.886 429299.718 4414461.847 59.858 429303.541 4414458.627 59.834 429307.456 4414455.503 59.812 429311.441 4414452.465 59.796 429315.465 4414449.493 59.777 429319.541 4414446.567 59.750 429323.666 4414443.754 59.715 429327.836 4414440.999 59.684 429332.075 4414438.335 59.667 429336.404 4414435.753 59.648 429340.997 4414433.103 59.629 429345.357 4414430.654 59.595 429349.789 4414428.323 59.579 429354.273 4414426.069 59.566 429358.800 4414423.909 59.551 429363.372 4414421.882 59.525 429367.926 4414419.990 59.498 429372.589 4414418.095 59.477 429377.256 4414416.302 59.454 429381.960 4414414.600 59.435 429386.710 4414413.034 59.430 429391.485 4414411.495 59.412 429393.261 4414410.942 59.404 429393.501 4414410.888 59.388 429398.265 4414409.473 59.345 429403.100 4414408.098 59.315 429406.683 4414407.089 59.308,2,
38,429382.811 4414418.090 59.520 429385.889 4414417.006 59.494 429390.850 4414415.435 59.472 429395.508 4414414.040 59.428 429400.302 4414412.600 59.383 429405.130 4414411.198 59.357 429405.940 4414410.928 59.355 429406.417 4414410.815 59.350,2,
39,429703.338 4414358.133 58.376 429701.102 4414358.609 58.328 429699.215 4414359.042 58.281 429694.285 4414359.992 58.266 429686.468 4414361.587 58.202 429676.668 4414363.578 58.160 429665.886 4414365.754 58.190 429661.961 4414366.525 58.211 429658.042 4414367.329 58.235 429650.452 4414368.853 58.276 429641.547 4414370.660 58.324 429641.455 4414370.674 58.330 429636.532 4414371.685 58.357 429633.659 4414372.256 58.373 429630.038 4414372.979 58.391 429625.233 4414373.958 58.412 429621.774 4414374.646 58.434 429597.407 4414379.606 58.613 429592.154 4414380.564 58.611 429588.004 4414381.413 58.622 429585.062 4414381.996 58.641 429583.171 4414382.388 58.646 429580.621 4414382.957 58.639 429577.566 4414383.572 58.655 429569.537 4414385.189 58.697 429564.629 4414386.177 58.720 429559.728 4414387.158 58.743 429554.840 4414388.150 58.768 429549.946 4414389.135 58.794 429545.828 4414389.969 58.809 429493.834 4414400.460 59.049 429463.053 4414406.672 59.187 429455.805 4414408.117 59.203 429435.728 4414412.274 59.288 429435.334 4414412.345 59.286,2,
40,429435.693 4414408.385 59.309 429435.928 4414408.351 59.309 429465.979 4414402.273 59.179 429470.877 4414401.274 59.146 429473.412 4414400.757 59.131 429480.171 4414399.461 59.131 429484.570 4414398.502 59.083 429489.471 4414397.512 59.065 429490.414 4414397.323 59.061 429503.098 4414394.753 59.013 429506.627 4414394.041 58.997 429536.862 4414387.940 58.857 429541.742 4414386.954 58.833 429546.642 4414385.972 58.810 429549.841 4414385.320 58.797 429555.677 4414384.170 58.779 429560.584 4414383.155 58.749 429565.476 4414382.173 58.723 429569.965 4414381.265 58.659 429620.180 4414371.167 58.466 429625.033 4414370.213 58.451 429629.817 4414369.169 58.406 429634.762 4414368.268 58.369 429638.783 4414367.490 58.337 429639.899 4414368.117 58.338 429643.612 4414368.113 58.322 429648.528 4414367.998 58.298 429653.486 4414367.392 58.268 429657.417 4414366.655 58.244 429661.835 4414365.776 58.216 429666.697 4414364.777 58.191 429671.618 4414363.790 58.173 429676.540 4414362.797 58.164 429681.464 4414361.791 58.184 429686.350 4414360.807 58.198 429691.248 4414359.807 58.246 429696.104 4414358.815 58.273 429700.984 4414357.824 58.323 429703.188 4414357.377 58.366,2,
41,429662.953 4414358.320 58.149 429667.848 4414357.409 58.130 429672.759 4414356.412 58.117 429677.699 4414355.410 58.114 429682.612 4414354.417 58.156 429687.524 4414353.425 58.188 429692.432 4414352.430 58.231 429697.332 4414351.424 58.266 429701.827 4414350.534 58.283,2,
42,429663.819 4414361.786 58.192 429668.705 4414360.794 58.170 429673.628 4414359.805 58.165 429678.530 4414358.799 58.159 429683.453 4414357.804 58.183 429688.370 4414356.799 58.213 429693.273 4414355.802 58.241 429698.192 4414354.800 58.285 429702.509 4414353.962 58.325,2,
43,429752.920 4414510.193 59.483 429752.824 4414510.092 59.338 429751.219 4414502.218 59.302 429750.185 4414497.215 59.288 429749.222 4414492.294 59.249 429748.217 4414487.480 59.209 429747.226 4414482.536 59.189 429746.270 4414477.621 59.169 429745.282 4414472.742 59.130 429744.233 4414467.741 59.105 429743.302 4414462.826 59.079 429742.408 4414457.879 59.048 429741.787 4414453.009 59.019 429741.171 4414445.085 58.959 429741.218 4414444.082 58.962 429740.949 4414439.115 58.939 429740.521 4414434.098 58.915 429740.096 4414429.117 58.887 429739.246 4414424.210 58.854 429738.903 4414423.506 58.852 429738.246 4414419.321 58.818 429737.437 4414414.394 58.776 429736.205 4414409.522 58.750 429735.279 4414404.614 58.722 429734.281 4414399.694 58.691 429733.277 4414394.834 58.668 429732.274 4414389.887 58.629 429731.190 4414385.005 58.606 429729.709 4414377.531 58.589 429729.678 4414377.393 58.598,2,
44,429730.497 4414377.225 58.579 429730.560 4414377.382 58.579 429733.062 4414390.117 58.620 429734.065 4414395.005 58.655 429735.057 4414399.880 58.677 429736.024 4414404.789 58.707 429737.024 4414409.691 58.736 429738.048 4414414.561 58.769 429738.970 4414419.468 58.807 429739.845 4414423.648 58.835 429739.961 4414423.881 58.830 429740.751 4414428.821 58.871 429741.262 4414433.813 58.897 429741.614 4414438.777 58.927 429741.924 4414443.772 58.955 429742.192 4414448.764 58.982 429742.657 4414453.718 59.023 429743.406 4414458.485 59.054 429744.193 4414462.417 59.076 429745.131 4414467.338 59.102 429746.112 4414472.227 59.123 429746.606 4414474.521 59.136 429753.802 4414509.735 59.334 429753.875 4414509.977 59.453,2,
45,429745.015 4414471.499 59.120 429746.023 4414476.380 59.155 429746.576 4414479.485 59.173,2,
