id(T),xyz(T),lane_type(L),lane_color(L)
10,429253.903 4415453.878 60.960 429254.909 4415458.734 60.976 429255.890 4415463.586 61.001 429256.841 4415468.410 61.035 429257.832 4415473.299 61.034 429258.602 4415476.868 61.034 429259.953 4415483.716 61.060,2,
11,429262.381 4415480.670 61.045 429261.437 4415476.232 61.026 429260.861 4415473.002 61.006 429259.872 4415468.168 60.988 429258.871 4415463.253 60.956 429257.879 4415458.307 60.939 429256.870 4415453.288 60.919,2,
12,429285.840 4415490.334 61.056 429289.529 4415486.938 61.046 429293.216 4415483.576 61.005 429296.881 4415480.197 60.976 429300.541 4415476.828 60.960 429302.108 4415475.407 60.953 429305.750 4415472.045 60.945 429309.436 4415468.650 60.931 429313.112 4415465.264 60.896 429316.785 4415461.876 60.906 429320.463 4415458.500 60.884 429324.134 4415455.123 60.860 429327.810 4415451.752 60.821 429331.477 4415448.376 60.783 429335.157 4415444.991 60.779 429338.819 4415441.586 60.751 429342.501 4415438.183 60.759 429346.199 4415434.803 60.715 429353.329 4415428.258 60.666 429353.341 4415428.236 60.683 429357.014 4415424.853 60.663 429360.673 4415421.477 60.658 429364.346 4415418.091 60.645 429368.028 4415414.698 60.622 429371.690 4415411.313 60.600 429375.361 4415407.937 60.578 429379.039 4415404.547 60.553 429382.731 4415401.169 60.530 429386.390 4415397.786 60.519 429390.072 4415394.389 60.493 429393.739 4415391.011 60.485 429397.441 4415387.611 60.472 429401.122 4415384.230 60.439 429404.796 4415380.844 60.429 429408.659 4415377.296 60.404 429408.732 4415377.229 60.393 429412.399 4415373.836 60.376 429416.072 4415370.442 60.357 429419.747 4415367.062 60.337 429423.414 4415363.683 60.315 429427.084 4415360.304 60.306 429430.765 4415356.905 60.298 429434.445 4415353.511 60.281 429438.097 4415350.123 60.259 429441.760 4415346.701 60.238 429445.381 4415343.255 60.225 429448.971 4415339.777 60.214 429452.505 4415336.259 60.205 429455.980 4415332.682 60.183 429458.508 4415329.986 60.170 429458.623 4415329.847 60.169 429461.969 4415326.144 60.156 429465.274 4415322.387 60.143 429468.525 4415318.573 60.133 429471.695 4415314.709 60.119 429474.804 4415310.780 60.101 429477.833 4415306.814 60.076 429480.799 4415302.795 60.059 429483.694 4415298.734 60.052 429486.508 4415294.634 60.045 429489.290 4415290.478 60.053 429492.007 4415286.267 60.047 429494.634 4415282.029 60.040 429497.189 4415277.736 60.028 429499.673 4415273.374 60.004 429502.075 4415268.976 59.978 429504.386 4415264.534 59.969 429506.635 4415260.064 59.957 429508.814 4415255.578 59.969 429510.551 4415251.947 59.982 429510.511 4415251.916 59.990 429512.570 4415247.345 60.018 429514.579 4415242.737 60.028 429516.545 4415238.138 60.037 429518.480 4415233.509 60.046 429520.403 4415228.896 60.050 429522.314 4415224.278 60.037 429524.230 4415219.667 60.020 429526.161 4415215.042 60.029 429528.089 4415210.441 60.049 429529.998 4415205.844 60.067 429531.915 4415201.223 60.090 429533.833 4415196.597 60.088 429535.751 4415191.973 60.086 429537.660 4415187.362 60.085 429539.574 4415182.740 60.103 429541.503 4415178.131 60.120 429543.427 4415173.526 60.134 429547.009 4415164.979 60.163 429547.076 4415164.843 60.161 429549.023 4415160.251 60.183 429551.015 4415155.659 60.203 429553.025 4415151.106 60.221 429555.080 4415146.561 60.234 429557.209 4415142.044 60.250 429559.388 4415137.553 60.270 429561.624 4415133.042 60.284 429563.880 4415128.572 60.286 429566.188 4415124.126 60.298 429568.504 4415119.720 60.320 429570.886 4415115.333 60.338 429573.323 4415110.955 60.356 429575.802 4415106.620 60.376 429578.324 4415102.296 60.397 429580.882 4415097.992 60.407 429583.480 4415093.714 60.423 429587.907 4415086.628 60.449 429588.005 4415086.524 60.450 429590.733 4415082.321 60.460 429593.495 4415078.153 60.476 429596.293 4415074.013 60.495 429599.133 4415069.898 60.507 429601.424 4415066.613 60.508 429601.640 4415066.310 60.506,2,
13,429279.729 4415485.502 60.999 429281.380 4415484.643 61.003 429282.325 4415483.746 61.086 429285.697 4415480.646 60.949 429289.457 4415477.269 60.956 429293.135 4415473.881 60.903 429297.150 4415470.207 60.862 429297.544 4415469.834 60.877 429301.237 4415466.447 60.858 429304.904 4415463.075 60.848 429308.574 4415459.681 60.832 429312.242 4415456.297 60.812 429315.919 4415452.918 60.790 429319.604 4415449.529 60.763 429323.286 4415446.148 60.740 429326.961 4415442.755 60.715 429330.663 4415439.352 60.692 429334.333 4415435.963 60.645 429338.026 4415432.568 60.644 429341.691 4415429.185 60.619 429348.281 4415423.122 60.593 429348.483 4415422.927 60.593 429352.150 4415419.548 60.586 429355.850 4415416.145 60.576 429359.514 4415412.758 60.551 429363.179 4415409.379 60.540 429366.879 4415405.977 60.519 429370.553 4415402.574 60.500 429374.222 4415399.195 60.477 429377.922 4415395.811 60.454 429381.582 4415392.428 60.434 429385.272 4415389.029 60.410 429388.966 4415385.626 60.393 429392.648 4415382.238 60.375 429396.309 4415378.870 60.358 429399.978 4415375.492 60.335 429403.526 4415372.219 60.312 429403.909 4415371.874 60.309 429407.586 4415368.493 60.298 429411.257 4415365.102 60.270 429414.934 4415361.714 60.250 429418.605 4415358.318 60.238 429422.288 4415354.931 60.231 429425.973 4415351.533 60.210 429429.639 4415348.143 60.187 429433.317 4415344.756 60.166 429436.979 4415341.354 60.153 429440.605 4415337.930 60.147 429444.188 4415334.454 60.141 429447.718 4415330.903 60.131 429451.186 4415327.283 60.113 429453.059 4415325.268 60.102 429453.232 4415325.089 60.101 429456.570 4415321.395 60.090 429459.868 4415317.647 60.075 429463.126 4415313.820 60.062 429466.300 4415309.951 60.056 429469.401 4415306.013 60.048 429472.430 4415302.033 60.035 429475.386 4415297.987 60.020 429478.278 4415293.901 60.012 429481.104 4415289.778 60.007 429483.871 4415285.638 60.007 429486.554 4415281.449 60.006 429489.163 4415277.204 60.000 429491.688 4415272.895 59.980 429494.139 4415268.544 59.958 429496.512 4415264.150 59.947 429498.820 4415259.714 59.933 429501.031 4415255.190 59.919 429503.792 4415249.412 59.916 429504.062 4415248.802 59.924 429506.129 4415244.257 59.937 429508.116 4415239.658 59.943 429510.056 4415235.059 59.944 429511.971 4415230.426 59.954 429513.891 4415225.801 59.959 429515.807 4415221.201 59.940 429517.733 4415216.573 59.938 429519.661 4415211.983 59.964 429521.596 4415207.357 59.990 429523.510 4415202.747 59.999 429525.422 4415198.124 60.004 429527.340 4415193.493 60.000 429529.257 4415188.888 59.991 429531.155 4415184.287 59.991 429533.076 4415179.679 59.999 429534.982 4415175.075 60.016 429536.888 4415170.470 60.034 429540.255 4415162.426 60.075 429540.420 4415162.078 60.075 429542.371 4415157.476 60.093 429544.349 4415152.899 60.113 429546.380 4415148.301 60.129 429548.438 4415143.749 60.148 429550.576 4415139.217 60.171 429552.754 4415134.728 60.197 429554.974 4415130.241 60.213 429557.224 4415125.785 60.218 429559.518 4415121.325 60.224 429561.848 4415116.888 60.238 429564.214 4415112.500 60.256 429566.652 4415108.110 60.275 429569.128 4415103.759 60.298 429571.648 4415099.413 60.307 429574.202 4415095.112 60.316 429576.806 4415090.843 60.332 429581.697 4415083.007 60.355 429581.897 4415082.722 60.357 429584.620 4415078.536 60.374 429587.377 4415074.379 60.389 429590.172 4415070.235 60.398 429593.001 4415066.124 60.410 429595.407 4415062.711 60.425 429595.644 4415062.402 60.457 429595.830 4415062.117 60.458,2,
14,429582.826 4415087.920 60.390 429585.546 4415083.680 60.407 429588.277 4415079.482 60.423 429591.050 4415075.302 60.438 429593.856 4415071.158 60.451 429596.715 4415067.047 60.465 429598.767 4415064.236 60.482,2,
15,429600.490 4415055.575 60.458 429602.753 4415052.713 60.458 429605.822 4415048.756 60.474 429608.950 4415044.857 60.490 429612.132 4415041.021 60.494 429613.479 4415039.405 60.493,2,
16,429606.294 4415060.041 60.576 429610.169 4415054.939 60.547 429613.254 4415051.000 60.566 429616.391 4415047.100 60.581 429619.567 4415043.232 60.594 429622.786 4415039.380 60.612 429625.979 4415035.554 60.632 429629.189 4415031.730 60.645 429632.407 4415027.916 60.656 429635.656 4415024.100 60.664 429638.910 4415020.324 60.676 429642.185 4415016.568 60.688 429644.403 4415014.073 60.692 429644.463 4415014.067 60.689 429647.894 4415010.406 60.692 429651.376 4415006.816 60.707 429654.776 4415003.399 60.728 429658.317 4414999.880 60.715 429661.893 4414996.382 60.706 429665.513 4414992.925 60.711 429669.162 4414989.514 60.714 429672.857 4414986.147 60.710 429676.582 4414982.802 60.695 429680.326 4414979.496 60.687 429684.094 4414976.237 60.674 429687.884 4414973.014 60.657 429691.753 4414969.815 60.658 429695.601 4414966.678 60.658 429699.479 4414963.538 60.657 429705.919 4414958.334 60.650 429706.292 4414958.027 60.645 429710.202 4414954.847 60.642 429714.069 4414951.644 60.633 429717.921 4414948.425 60.624 429721.753 4414945.143 60.621 429725.524 4414941.877 60.607 429729.285 4414938.608 60.584 429732.994 4414935.303 60.568 429736.730 4414931.995 60.555 429740.480 4414928.651 60.538 429744.233 4414925.314 60.516 429747.981 4414922.004 60.482 429751.865 4414918.835 60.459 429756.169 4414916.119 60.414 429760.714 4414913.864 60.351 429765.321 4414911.876 60.310 429770.005 4414909.983 60.306 429780.701 4414905.938 60.623 429789.382 4414902.109 60.277 429804.337 4414892.653 60.151 429805.243 4414892.457 60.245 429808.642 4414890.145 59.860,2,
17,429639.475 4415008.755 60.575 429642.927 4415005.102 60.598 429646.459 4415001.547 60.617 429650.007 4414997.987 60.616 429653.550 4414994.472 60.604 429657.119 4414990.969 60.592 429660.739 4414987.518 60.590 429664.405 4414984.113 60.589 429668.077 4414980.742 60.591 429671.806 4414977.396 60.587 429675.544 4414974.088 60.586 429679.319 4414970.815 60.559 429683.128 4414967.603 60.541 429686.974 4414964.424 60.540 429690.844 4414961.263 60.571 429694.736 4414958.148 60.591 429701.188 4414952.963 60.585 429701.462 4414952.721 60.580 429705.351 4414949.559 60.568 429709.221 4414946.366 60.549 429713.041 4414943.136 60.519 429716.692 4414940.126 60.507 429720.334 4414936.888 60.501 429724.111 4414933.582 60.493 429727.869 4414930.248 60.477 429731.676 4414926.867 60.459 429735.423 4414923.537 60.430 429739.176 4414920.192 60.407 429743.009 4414916.883 60.376 429746.879 4414913.721 60.346 429749.723 4414911.608 60.310 429753.985 4414908.633 60.224 429758.997 4414905.473 60.155 429762.619 4414903.290 60.137 429765.546 4414901.764 60.123 429768.240 4414900.569 60.114 429771.823 4414899.185 60.108 429776.531 4414897.304 60.126 429777.453 4414896.970 60.121 429782.047 4414894.927 60.154 429786.401 4414892.605 60.134 429790.682 4414890.020 60.101 429794.501 4414887.562 60.069 429806.668 4414879.446 59.995,2,
18,429780.053 4414902.828 60.243 429784.602 4414900.747 60.248 429788.994 4414898.375 60.212 429793.291 4414895.800 60.183 429797.487 4414893.147 60.166 429801.725 4414890.442 60.130 429805.961 4414887.720 60.075 429807.542 4414886.713 60.053 429807.944 4414886.450 60.053,2,
19,429779.245 4414899.443 60.179 429783.831 4414897.415 60.196 429788.192 4414895.034 60.168 429792.513 4414892.468 60.152 429796.727 4414889.819 60.129 429800.922 4414887.110 60.088 429805.154 4414884.412 60.022 429807.330 4414883.080 60.025,2,
